concept,dimension,culture,support_annotations,support_images,top_emotions,example_image_ids,example_texts
turquoise,colors_color_schemes,ar,151,33,amusement=0.357; awe=0.305; contentment=0.222,000070_10688d3977; 000071_4a6f65d462; 000201_9a5f8d73f2; 000202_7870118de7; andre-dunoyer-de-segonzac_paysage-m-diterran-en,دقه تفاصيل المشهد التاريخي  القوي تبهر الناظر حقا || ‏جمال الفن العربي القديم ودلالة على طاعة الحكام في أبها صورها || الصورة تبعت على الغموض والدهول فوجود أناس يجتمعون حول مسؤول بهذه الطريقة يو حي بوجود سبب مهم ومجهول.
vertical orientation,compositional_style,ar,67,15,awe=0.259; contentment=0.175; amusement=0.161,000067_92b607ac20; 000129_b83dc92aa3; 000161_0b4c0cc2f2; 01KDGMP638FBRT6PRVT6GWR7M2; george-bouzianis_naked-man-1915,الرجل الحافي القدمين يميل برأسه وجسده نحو الخلف بعينين موجهتين للأعلى ممسكاً بسيفه الطويل بجانب قبعته الخضراء الملقاة أرضا || بطل مجددا انتصر في معركته وها هو يتباهي بانتصاره || السيف الحاد و رجل يمسحه بحذائه و هو ينظر إلى السماء
visible outlines,compositional_style,ar,42,9,contentment=0.226; amusement=0.161; awe=0.118,carl-larsson_brita-and-me-1895(1); edvard-munch_model-on-the-couch-1928; federico-zandomeneghi_the-moulin-de-la-galette; koloman-moser_judith-and-holofernes-1916; lasar-segall_m-e-morta-1940,يبدو أن ذلك الرجل والطفله يلعبان لعبه مليئه بالحماس والبهجة || رجل يمسك بفتاة فوق رأسه و تبتسم بقوة و ترتدي فستان اسود || الأب يمسك في يده قلم و يرفع الطفله علي كتفيه و هي تبتسم
bottles,objects_subjects,ar,31,7,contentment=0.380; awe=0.211; excitement=0.211,000069_eb081e024e; amedee-ozenfant_le-pichet-blanc-1926; esaias-van-de-velde_elegant-company-dining-in-the-open-air-1615; gerrit-dou_the-village-grocer-1647; jose-gutierrez-solana_the-designer-of-masks,حفل زفاف كبير جمع الكثير من الناس في مشهد يبعث على الحماس. || تفاصيل اختيار الألوان في اللوحة توحي بالحياة والنشاط والبهجة || الالوان سعيده جدا تدل على البهجه و الانتصار و السعادة و الملك
stone buildings,objects_subjects,ar,157,33,amusement=0.300; contentment=0.300; awe=0.170,alfred-sisley_princesse-street-in-louveciennes-1872; camille-pissarro_place-du-carrousel-the-tuileries-gardens-1900; charles-francois-daubigny_entering-the-village; claude-monet_the-lieutenancy-at-honfleur; cornelis-springer_view-of-montelspran-1845,القريه بها المنازل الرائعه والشوارع البنيه النظيفه و الواسعه و السماء الصافيه والجميله || طريق طويل في نهايتة شخصين وبجانبهم اشجار خضراء رائعه || وسط تلك البيوت الصغيرة يتنزه زوجان حيث تركب السيدة علي الحصان ويمشي زوجها بجانبها
bird-and-flower genre,scenes_settings,ar,47,15,contentment=0.476; amusement=0.184; something else=0.107,01KDGMP0C58X32KHP956R8Z0BB; 01KDGMP0C6892YDRH6DAN6NSPK; 01KDGMP0FW8ZDTNRRBD9CTSGMW; 01KDGMP0MN0F1R09WH91ER135R; 01KDGMP0P6RWF70GM9TMMXGH0Z,التوت يبدو كالزهور تطفو علي البركة واه جراد يقفز عليهم || صورة مرسومة على شكل دائرة لغصن به ورود  وجانبها دائرة بها كلمات قد تكون وصف الصورة الأولى. || الصورة تعرض دائرتان الأولى تعرض حشرة أو طائر يطير وسط نباتات باهتة اللون و الأخرى تحتوى على رموز من لغة آسيوية مما توحي بالحيرة.
garden scene,scenes_settings,ar,87,25,contentment=0.464; amusement=0.169; awe=0.148,000004_11970f7db3; 000052_ba4bd57ea0; 000083_6e0b118289; 000148_0ca86c3273; 000222_9b326c0b04,قطة تتسلق شجرة عليها مجموعة من الطيور بينما تجلس قطة أخرى على الأرض تراقب المشهد. || تظهر قطة تتسلق الشجرة وأخرى تراقبها من الأسفل، مما يوحي بالاستكشاف والانتباه والتفاعل بينهما. || الصورة تعرض قطتين أحدهم تحاول صعود الشجرة و الأخري تنظر لها و هي بالأسفل مما يوحي بالحماس.
muted blues,colors_color_schemes,en,681,138,contentment=0.529; awe=0.173; sadness=0.085,000067_9af2cd94c6; adriaen-brouwer_the-card-players; adriaen-van-de-velde_landscape-with-shepherds; aelbert-cuyp_orpheus-with-animals-in-a-landscape; albrecht-durer_hans-tucher-1499,A deer is being studied and analyzed by people in shock || The deer in the middle looks very proud  and there is a lot of detail (such as music instruments). || some people are sitted sorounding an antelope in a mist environment
red border,colors_color_schemes,en,42,14,fear=0.226; contentment=0.204; amusement=0.183,000000_49f2df632e; 000027_68f4164f9b; 000032_0bb08618ca; 000041_c88ac61999; 000059_a636a72b17,A very colourful picture to add to the feeling that there is some sort of festivity as all the activities seem to point to it. || People are running for their lives and they are being killed. || The people appears to be fighting a war which creates a sad feeling.
line drawing,compositional_style,en,299,84,contentment=0.255; fear=0.163; amusement=0.140,000056_8bc2fb20cf; 01KDGMP0TAF1AC6XE97QD1QBSN; 01KDGMP0WQD2SVXPGWGH648TZJ; 01KDGMP0XW2NKNJEG9BMP1XZX4; 01KDGMP11X1YQCN8TY2PZ3J7KG,"The scriptures on the body of the person givers a sense this person is important and a sense of awe || The serene, symmetrical posture of the central figure framed by concentric circular halos creates a profound sense of awe. || nice and people, i will keep this for sure"
