concept,dimension,support_en,support_zh,support_ar,top_en,top_zh,top_ar,js_zh_en,js_ar_en,js_zh_ar,mean_js
drip painting,compositional_style,15,15,15,anger=0.282,fear=0.436,awe=0.385,0.250911,0.199362,0.329674,0.259982
red seal impressions,colors_color_schemes,14,12,14,contentment=0.568,disgust=0.636,something else=0.297,0.290789,0.154154,0.327123,0.257355
pianist,objects_subjects,10,10,10,awe=0.448,contentment=0.586,amusement=0.448,0.285148,0.240352,0.229824,0.251775
green bird,objects_subjects,10,10,10,sadness=0.310,disgust=0.310,awe=0.379,0.191487,0.309343,0.251101,0.250643
three girls,objects_subjects,20,19,17,contentment=0.551,contentment=0.745,amusement=0.628,0.045374,0.345933,0.357044,0.249450
daisies,objects_subjects,59,66,55,contentment=0.622,contentment=0.858,amusement=0.597,0.058622,0.272682,0.410043,0.247116
open doorway,objects_subjects,14,15,15,contentment=0.622,contentment=0.641,amusement=0.641,0.029646,0.333005,0.376780,0.246477
straw hats,objects_subjects,57,60,58,contentment=0.626,contentment=0.845,amusement=0.616,0.072372,0.289807,0.373616,0.245265
faceted planes,compositional_style,15,20,18,contentment=0.231,contentment=0.469,awe=0.378,0.174903,0.217433,0.335802,0.242713
textured strokes,compositional_style,20,21,18,excitement=0.306,contentment=0.765,amusement=0.600,0.180944,0.235506,0.303371,0.239940
scenic wilderness,scenes_settings,22,18,18,awe=0.358,disgust=0.511,fear=0.333,0.284147,0.056443,0.377523,0.239371
sky with clouds,scenes_settings,14,14,11,awe=0.514,contentment=0.568,excitement=0.290,0.291147,0.112893,0.310109,0.238050
gallery interior,scenes_settings,15,16,14,something else=0.385,contentment=0.659,awe=0.514,0.311914,0.244168,0.155368,0.237150
flowing drapery,objects_subjects,54,53,53,excitement=0.368,contentment=0.652,awe=0.600,0.220185,0.177256,0.313609,0.237017
nude women,objects_subjects,20,26,20,contentment=0.306,contentment=0.443,amusement=0.469,0.221706,0.289209,0.196911,0.235942
traveler,objects_subjects,17,15,15,fear=0.442,contentment=0.385,sadness=0.436,0.301687,0.179938,0.223756,0.235127
poppies,objects_subjects,53,55,48,contentment=0.687,contentment=0.765,amusement=0.524,0.013988,0.315233,0.371050,0.233423
accents of blue,colors_color_schemes,14,14,14,excitement=0.405,disgust=0.351,amusement=0.405,0.247577,0.145944,0.305883,0.233135
patterned composition,compositional_style,16,15,15,excitement=0.366,contentment=0.385,amusement=0.538,0.121328,0.221164,0.356370,0.232954
dominant green tones,colors_color_schemes,10,10,10,contentment=0.655,contentment=0.655,amusement=0.586,0.018043,0.328112,0.346155,0.230770
four boys,objects_subjects,10,10,10,contentment=0.586,contentment=0.586,amusement=0.379,0.013378,0.341751,0.334699,0.229943
cypress tree,objects_subjects,49,47,44,awe=0.439,contentment=0.748,amusement=0.361,0.198877,0.156713,0.333726,0.229772
flower garden,scenes_settings,29,31,31,contentment=0.642,contentment=0.662,amusement=0.606,0.027278,0.312240,0.347159,0.228892
lavender gray,colors_color_schemes,22,22,17,contentment=0.698,contentment=0.660,amusement=0.488,0.061475,0.275767,0.349259,0.228834
traditional embroidery,symbolic_cultural_motifs,10,11,10,excitement=0.448,contentment=0.677,amusement=0.310,0.291951,0.154855,0.238386,0.228397
two nude figures,objects_subjects,10,10,10,contentment=0.310,contentment=0.586,amusement=0.517,0.075697,0.276037,0.327406,0.226380
terracotta border,colors_color_schemes,14,12,12,awe=0.351,disgust=0.394,contentment=0.455,0.324006,0.019854,0.333449,0.225770
flying apsara,symbolic_cultural_motifs,15,15,15,excitement=0.333,contentment=0.487,awe=0.590,0.147614,0.281598,0.247877,0.225696
curved perspective,compositional_style,52,56,54,contentment=0.540,contentment=0.736,amusement=0.419,0.050855,0.257007,0.367056,0.224973
costume design,scenes_settings,15,15,14,amusement=0.436,amusement=0.385,contentment=0.622,0.164050,0.376586,0.132793,0.224477
laundry,objects_subjects,25,25,25,sadness=0.559,contentment=0.763,contentment=0.356,0.251338,0.250065,0.168663,0.223356
traditional east asian landscape style,compositional_style,14,12,14,fear=0.351,disgust=0.515,contentment=0.514,0.297023,0.126336,0.246241,0.223200
mosaic-like paint application,compositional_style,20,21,19,contentment=0.592,contentment=0.765,amusement=0.447,0.023130,0.311265,0.332493,0.222296
stylized human figures,objects_subjects,16,15,14,amusement=0.268,fear=0.538,awe=0.405,0.123741,0.208368,0.331324,0.221144
flying figure,objects_subjects,54,54,54,excitement=0.333,contentment=0.590,awe=0.590,0.162418,0.170320,0.330459,0.221066
silver teapot,objects_subjects,14,15,13,contentment=0.622,contentment=0.795,amusement=0.543,0.033376,0.292623,0.335227,0.220409
rectangular blocks,objects_subjects,10,11,10,amusement=0.310,disgust=0.548,awe=0.448,0.284316,0.158134,0.218703,0.220384
loose painterly strokes,compositional_style,23,31,25,contentment=0.491,contentment=0.465,amusement=0.559,0.096653,0.278338,0.286118,0.220369
geta sandals,objects_subjects,12,12,12,amusement=0.333,contentment=0.394,awe=0.455,0.128904,0.256086,0.272989,0.219327
tutus,objects_subjects,15,16,13,awe=0.333,contentment=0.610,amusement=0.600,0.081009,0.273341,0.302810,0.219053
sunlight,objects_subjects,19,23,17,contentment=0.745,contentment=0.782,amusement=0.302,0.011217,0.303292,0.341488,0.218666
surreal composition,compositional_style,31,31,28,amusement=0.521,fear=0.549,awe=0.354,0.245240,0.156750,0.252578,0.218189
outdoor polo match,scenes_settings,12,12,14,excitement=0.636,contentment=0.576,excitement=0.514,0.309041,0.035818,0.309345,0.218068
polo ball,objects_subjects,12,12,14,excitement=0.636,contentment=0.576,excitement=0.514,0.309041,0.035818,0.309345,0.218068
warm autumn tones,colors_color_schemes,25,26,22,contentment=0.661,contentment=0.770,amusement=0.472,0.042983,0.266437,0.344529,0.217983
floral crests,symbolic_cultural_motifs,16,17,18,fear=0.366,fear=0.488,contentment=0.244,0.160005,0.190954,0.302676,0.217878
patio,scenes_settings,15,15,14,contentment=0.487,contentment=0.744,awe=0.351,0.052238,0.227418,0.371758,0.217138
jungle foliage,objects_subjects,15,15,15,amusement=0.231,contentment=0.538,awe=0.385,0.218326,0.110633,0.322358,0.217106
signage,objects_subjects,15,15,15,excitement=0.333,contentment=0.436,contentment=0.538,0.334284,0.253614,0.063308,0.217069
vibrant greens,colors_color_schemes,14,15,13,contentment=0.676,contentment=0.744,amusement=0.600,0.022230,0.291646,0.335916,0.216597
outdoor meadow,scenes_settings,11,10,10,contentment=0.484,contentment=0.517,amusement=0.517,0.008216,0.300707,0.340714,0.216545
traditional landscape painting style,symbolic_cultural_motifs,12,14,14,contentment=0.515,something else=0.297,awe=0.514,0.091015,0.297995,0.258306,0.215772
courtyards,objects_subjects,12,12,14,fear=0.212,contentment=0.455,amusement=0.297,0.224067,0.113649,0.307733,0.215150
outdoor festival,scenes_settings,42,41,40,excitement=0.548,contentment=0.560,amusement=0.640,0.159672,0.161186,0.324258,0.215039
distant shore,objects_subjects,28,27,28,contentment=0.354,contentment=0.651,amusement=0.385,0.120352,0.218108,0.306190,0.214883
cacti,objects_subjects,15,16,15,awe=0.385,contentment=0.756,amusement=0.436,0.249774,0.181820,0.212931,0.214842
eyelashes,objects_subjects,10,10,10,fear=0.448,fear=0.724,awe=0.517,0.059518,0.230675,0.353616,0.214603
small pavilions,objects_subjects,15,15,15,awe=0.333,disgust=0.487,awe=0.282,0.326716,0.082382,0.234652,0.214583
nasta liq script,symbolic_cultural_motifs,27,27,29,contentment=0.302,contentment=0.492,excitement=0.463,0.174046,0.127033,0.340500,0.213860
three-dimensional,compositional_style,10,10,10,amusement=0.448,contentment=0.655,awe=0.448,0.242131,0.116985,0.281311,0.213476
public park,scenes_settings,44,45,42,contentment=0.526,contentment=0.758,amusement=0.548,0.034638,0.271843,0.333312,0.213264
springtime setting,scenes_settings,14,16,15,awe=0.514,contentment=0.659,amusement=0.333,0.236211,0.247249,0.156185,0.213215
baton,objects_subjects,21,20,19,awe=0.412,contentment=0.633,excitement=0.447,0.214929,0.216708,0.204291,0.211976
thatched-roof pavilion,objects_subjects,12,12,14,fear=0.455,disgust=0.515,contentment=0.297,0.249811,0.163307,0.222601,0.211906
wooden beam,objects_subjects,13,16,11,awe=0.314,contentment=0.366,excitement=0.290,0.290629,0.203270,0.141815,0.211905
cross pendant,objects_subjects,20,25,20,awe=0.347,contentment=0.729,contentment=0.551,0.364207,0.174864,0.095296,0.211455
wave patterns,symbolic_cultural_motifs,29,25,23,awe=0.313,contentment=0.593,awe=0.382,0.179077,0.098762,0.356088,0.211309
shield emblem,symbolic_cultural_motifs,10,10,10,fear=0.379,contentment=0.448,excitement=0.586,0.194430,0.114654,0.324430,0.211171
landscape,compositional_style,10,12,10,contentment=0.655,contentment=0.576,awe=0.448,0.038642,0.327922,0.265977,0.210847
waterfront town,scenes_settings,11,10,10,contentment=0.484,contentment=0.586,amusement=0.310,0.051733,0.291604,0.288824,0.210720
military camp,scenes_settings,11,11,11,something else=0.419,contentment=0.419,anger=0.226,0.237181,0.263002,0.131911,0.210698
wine glasses,objects_subjects,25,27,23,contentment=0.525,contentment=0.810,amusement=0.564,0.055324,0.201895,0.372798,0.210006
soft drop shadows,compositional_style,10,11,10,contentment=0.517,contentment=0.613,something else=0.379,0.053662,0.306581,0.269043,0.209762
three rectangular panels,objects_subjects,10,11,10,contentment=0.517,contentment=0.613,something else=0.379,0.053662,0.306581,0.269043,0.209762
illuminated manuscript page,compositional_style,15,17,15,something else=0.333,contentment=0.349,excitement=0.282,0.210134,0.141391,0.277491,0.209672
earthy yellow,colors_color_schemes,15,15,13,contentment=0.385,contentment=0.692,amusement=0.371,0.122049,0.250336,0.256297,0.209561
rocky outcrops,objects_subjects,15,13,13,contentment=0.436,contentment=0.600,amusement=0.543,0.095745,0.256931,0.275830,0.209502
lakeside pavilion,scenes_settings,12,12,12,contentment=0.333,contentment=0.273,amusement=0.515,0.110493,0.253484,0.263401,0.209126
classical landscape,compositional_style,15,18,13,awe=0.385,contentment=0.556,amusement=0.486,0.151710,0.180546,0.294629,0.208962
mushrooms,objects_subjects,17,16,16,contentment=0.395,contentment=0.415,awe=0.512,0.134797,0.204696,0.286340,0.208611
lake,scenes_settings,33,35,33,contentment=0.360,contentment=0.646,amusement=0.333,0.104629,0.232669,0.288077,0.208458
towel,objects_subjects,10,12,10,contentment=0.448,contentment=0.576,amusement=0.586,0.062394,0.232571,0.329365,0.208110
glowing yellow,colors_color_schemes,15,15,13,excitement=0.590,contentment=0.692,amusement=0.314,0.200364,0.259394,0.164299,0.208019
persian calligraphy,objects_subjects,12,12,12,fear=0.394,disgust=0.394,excitement=0.333,0.204310,0.170473,0.249263,0.208015
formal garden,scenes_settings,40,40,40,contentment=0.416,contentment=0.753,amusement=0.483,0.110461,0.198847,0.314625,0.207978
